case_id,tau,pointwise_empirical_50,pointwise_empirical_90,curve_bias_full,curve_mae_full,curve_rmse_full,curve_bias_pre,curve_mae_pre,curve_rmse_pre,curve_bias_post,curve_mae_post,curve_rmse_post,post_minus_pre_rmse,post_minus_pre_mae,true_beta,true_gamma,true_R0,rho0,eta,severity
40,15,0.48,0.94,0.00466322016902268,0.017167120752856136,0.02117771480713452,-0.011191064212471246,0.016858818971862397,0.021561798283757386,0.011457913475377219,0.017299250087567736,0.02101095839533986,-0.0005508398884175245,0.0004404311157053392,0.36799685108536473,0.09638570911890151,3.8179607168880545,1.0,0.8811843105058942,mild
41,20,0.54,0.9,-0.006350254316585051,0.01403596305544852,0.01826009705029792,-0.0053810386685654524,0.013123642862774431,0.017129294870931795,-0.00699639808193145,0.014644176517231244,0.018976566565818608,0.0018472716948868123,0.0015205336544568127,0.7382039414826657,0.25083437938249614,2.9429934736218195,1.0,0.8808911350310947,mild
42,22,0.82,0.98,-0.005489160436632119,0.009331905303483837,0.013423357210635,-0.006948883778849532,0.01127735590059522,0.016174418294639954,-0.004342234953461295,0.007803336977182036,0.010780051322558206,-0.005394366972081748,-0.0034740189234131833,0.32856428459805054,0.41203451161062377,0.7974193310014446,1.0,0.8522366304559258,mild
43,27,0.58,0.9,-0.0019645169895375148,0.014904118165723047,0.01969599511406739,0.0018966259452065936,0.016466997365501744,0.020499000806111382,-0.006497163043367555,0.01306943388772197,0.01870941085836859,-0.0017895899477427916,-0.0033975634777797734,0.9723866116433706,0.17480184190337622,5.562793853058303,1.0,0.9002057012948533,mild
44,25,0.52,0.94,-0.004768586161371786,0.014167894057754893,0.01828280098128985,-0.0021889916993677616,0.013499774541705846,0.017252889829145936,-0.00734818062337581,0.014836013573803939,0.01925771055931257,0.002004820730166633,0.0013362390320980928,0.6520502501421478,0.2329313371554972,2.799323861292484,1.0,0.9274724008736399,mild
45,30,0.6,0.94,-0.001200205683708191,0.013959854822605849,0.018134131585013764,-0.0008268244564533234,0.015175357150534788,0.020284065553889216,-0.0017602775245904923,0.012136601330712437,0.014316139415525831,-0.005967926138363385,-0.0030387558198223513,0.5488296499538862,0.15381212741806394,3.568181905852963,1.0,0.9789516908929706,mild
46,25,0.58,0.9,-0.004476661763619632,0.01711180610815063,0.022463917500742392,-0.00957104311324656,0.017628014842048286,0.022624720666900307,0.000617719586007297,0.016595597374252976,0.022301954930118904,-0.0003227657367814024,-0.0010324174677953102,0.7785025313363297,0.123444753747994,6.306485352351237,1.0,0.8847883243234271,mild
47,18,0.52,0.96,0.007784467376768589,0.020242260806262492,0.02475612419695364,-0.008101721294224262,0.021107285904387634,0.02552342857119975,0.016720448504202068,0.019755684188567102,0.024313876538296777,-0.0012095520329029746,-0.0013516017158205322,0.592662601033353,0.07158706154317575,8.278906666338093,1.0,0.9950593953882263,mild
48,17,0.56,0.88,-0.003854142160853371,0.01594593481742777,0.020857594555108952,-0.008529701407122262,0.01405941226574428,0.01801847729128212,-0.001445520730957276,0.016917779768295022,0.022178783627210104,0.004160306335927982,0.002858367502550743,0.5645354242436196,0.26893582591221865,2.099145483234671,1.0,0.8625735158970762,mild
49,14,0.52,0.9,-0.0045685579280689125,0.016421592867918663,0.020542638958082626,-0.010794657648407988,0.01721174532680639,0.021363082077871378,-0.002147296925714828,0.01611431135612899,0.02021458694028243,-0.0011484951375889466,-0.0010974339706774014,0.7214795506242654,0.19891426371911652,3.627088058617327,1.0,0.9657368716159203,mild
50,14,0.68,0.88,-0.008958339744422119,0.012887845750665292,0.01865827063298469,-0.006263993177396644,0.014204028407610687,0.01996478737199205,-0.010006141187154248,0.012375996939630972,0.018124764261578837,-0.001840023110413213,-0.0018280314679797148,0.16068569264652233,0.16660576368692506,0.9644665892140001,1.0,0.8527472854897108,mild
51,24,0.62,0.94,-0.004078273059421917,0.013295002023369307,0.019903799658608945,-0.0003445733552022527,0.01653654214654428,0.023114596281685724,-0.007524765094086223,0.01030281114043856,0.016390936252573818,-0.006723660029111907,-0.006233731006105721,0.8727754043935709,0.4780327927690611,1.8257647123702894,1.0,0.9572204268536713,mild
52,16,0.54,0.92,-0.005643762164836517,0.014955071156291523,0.019634145489592424,-0.015246661700075492,0.02299575539655052,0.027021831444953258,-0.0011247506188417045,0.01117121974911082,0.014943140725363607,-0.012078690719589651,-0.011824535647439701,0.6655068736325342,0.23277988831753416,2.8589534879607763,1.0,0.9032444417361064,mild
53,28,0.54,0.96,0.028525447766296567,0.03561629762407392,0.04399406459617507,0.009271486920105028,0.021111421910713295,0.026448108504214866,0.053030488843267616,0.05407704853198745,0.05923290607577737,0.03278479757156251,0.032965626621274155,0.17810686037727783,0.10921471278320355,1.6307954838541625,1.0,0.9835825486245928,mild
