case_id,pointwise_empirical_50,pointwise_empirical_90,curve_bias_full,curve_mae_full,curve_rmse_full,curve_bias_first,curve_mae_first,curve_rmse_first,curve_bias_second,curve_mae_second,curve_rmse_second,second_minus_first_rmse,second_minus_first_mae,split_mode,split_idx,true_beta,true_gamma,true_R0,beta_ref,gamma_ref,R0_ref,beta_seir,gamma_seir,sigma_seir,sigma,severity,reference_mode,reference_window_days,projection_loss
32,0.48,0.92,0.0010245526395738125,0.0182278317399323,0.021962168012991664,-0.00017761509865522386,0.015820000879466535,0.019219483357951237,0.0022267203778028486,0.020635662600398064,0.024398465261470527,0.00517898190351929,0.004815661720931529,fraction,25,0.36156638881925174,0.1578732946572209,2.2902314771114094,0.36156638881925174,0.1578732946572209,2.2902314771114094,0.9657326361519409,0.1940338120294599,0.17676995764745201,0.17676995764745201,pooled,full_curve,50,0.004283975101395396
33,0.82,0.96,-0.003831673301756382,0.010548167079687119,0.0143202362767079,-0.0012477279105223716,0.009464366135653109,0.013453887191350964,-0.006415618692990392,0.011631968023721129,0.015137082066365513,0.0016831948750145494,0.00216760188806802,fraction,25,0.1,0.19402550027312548,0.5153961714271175,0.1,0.19402550027312548,0.5153961714271175,0.3214611151840776,0.42169168380630556,0.18700485327556732,0.18700485327556732,pooled,full_curve,50,5.552396151495122e-05
34,0.8,0.98,-0.0036564387031103253,0.010652409405520303,0.014027847067121669,-0.002390117149188882,0.011765829522773856,0.015240144897226663,-0.004922760257031768,0.009538989288266748,0.012700353152123136,-0.002539791745103527,-0.002226840234507107,fraction,25,0.28790444209804344,0.45742255726563436,0.6294058688733438,0.28790444209804344,0.45742255726563436,0.6294058688733438,0.1614080473523189,0.42202464202913326,0.6384216083550412,0.6384216083550412,pooled,full_curve,50,5.752944302485681e-07
35,0.58,0.96,-0.001989599682856351,0.014239821161609142,0.01738437681382173,-0.00031995808705687523,0.015303364861756564,0.018106179697623872,-0.003659241278655827,0.013176277461461723,0.0166312768952729,-0.0014749028023509705,-0.0021270874002948404,fraction,25,0.4651269455718303,0.30569043683797154,1.5215619774797426,0.4651269455718303,0.30569043683797154,1.5215619774797426,0.778454592282307,0.4126702474791653,0.502300662700834,0.502300662700834,pooled,full_curve,50,0.0006596493876401624
36,0.8,0.96,-0.00491833444481017,0.010342838836077135,0.014272738310710738,-0.006212334185838699,0.012284127986058593,0.015818255598258387,-0.0036243347037816422,0.008401549686095678,0.01253813812335098,-0.0032801174749074076,-0.003882578299962915,fraction,25,0.1,0.14590066208761512,0.6853978492568374,0.1,0.14590066208761512,0.6853978492568374,0.41521110410780404,0.4651707984700952,0.5981712740618378,0.5981712740618378,pooled,full_curve,50,3.4753091839239558e-06
37,0.76,1.0,-0.004388872402632842,0.007816569318674738,0.011054358546616343,-0.004747632519574836,0.00873427294078283,0.012117944646706524,-0.0040301122856908475,0.006898865696566645,0.009876897452826787,-0.0022410471938797364,-0.0018354072442161844,fraction,25,0.3201501527702971,0.45038028554158516,0.7108440645560552,0.3201501527702971,0.45038028554158516,0.7108440645560552,0.28687128303669307,0.48516385087271297,0.7092476348698595,0.7092476348698595,pooled,full_curve,50,4.192348169434424e-10
38,0.54,0.96,-0.004585542242130032,0.014306549198372522,0.0177476137701292,-0.00971155934035778,0.016631620042026042,0.02008137912668299,0.0005404748560977168,0.011981478354719001,0.015056354188108741,-0.005025024938574249,-0.004650141687307041,fraction,25,0.5526958995126432,0.24107352541351296,2.2926445306037024,0.5526958995126432,0.24107352541351296,2.2926445306037024,0.8188433244119744,0.27584126322365227,0.7402213842543953,0.7402213842543953,pooled,full_curve,50,0.002613068285841408
39,0.8,0.98,-0.004282341240323149,0.01152674679120537,0.01530043855262543,-0.00514009268488735,0.012461261809803545,0.0173332834306116,-0.003424589795758948,0.010592231772607192,0.012952379137417903,-0.0043809042931936965,-0.0018690300371963526,fraction,25,0.1,0.09831663703060725,1.017121852620617,0.1,0.09831663703060725,1.017121852620617,0.34310243473030666,0.30067154646677735,0.2713221109708648,0.2713221109708648,pooled,full_curve,50,6.329351184131645e-05
40,0.4,0.88,0.00031438893172889946,0.026281365319155158,0.031182343001520823,-0.008612473784014583,0.023864161400124432,0.028178040703124567,0.009241251647472382,0.02869856923818588,0.03392160155803444,0.005743560854909874,0.004834407838061449,fraction,25,0.3228328647159076,0.0634149378517587,5.0908015627260355,0.3228328647159076,0.0634149378517587,5.0908015627260355,0.49437727735218284,0.06625782067035502,0.4612079141134182,0.4612079141134182,pooled,full_curve,50,0.009561296417752376
41,0.52,0.96,0.011224743546918034,0.01951313097961247,0.02374144372071709,0.010401387456804514,0.01846764424815774,0.02278430919933141,0.012048099637031556,0.0205586177110672,0.02466145888217516,0.0018771496828437484,0.00209097346290946,fraction,25,0.3125998054809627,0.19494052417489474,1.6035650196595739,0.3125998054809627,0.19494052417489474,1.6035650196595739,0.43115345857382337,0.23601286905335017,0.5332691011708144,0.5332691011708144,pooled,full_curve,50,0.00018305289603417132
